Timestamp,Temperature(degree celcius),Humidity,MQ-135 raw value,Light State,Air quality,Gas Anomaly,Occupancy Status
7/19/2026 23:32:40,30.8,90,856,1,Poor,1,Unoccupied
7/19/2026 23:33:05,30.8,90,856,1,Poor,1,Unoccupied
7/19/2026 23:33:26,30.8,90,900,1,Poor,1,Unoccupied
7/19/2026 23:33:51,30.8,91,843,1,Poor,1,Unoccupied
7/19/2026 23:34:16,30.8,90,763,1,Poor,1,Unoccupied
7/19/2026 23:34:32,30.8,91,894,1,Poor,1,Unoccupied
7/19/2026 23:34:56,30.8,90,881,1,Poor,1,Unoccupied
7/19/2026 23:35:21,30.8,90,880,1,Poor,1,Unoccupied
7/19/2026 23:35:45,30.8,90,897,0,Poor,1,PossiblyOccupied
7/19/2026 23:36:12,30.8,90,890,0,Poor,1,PossiblyOccupied
7/19/2026 23:36:27,30.8,90,890,0,Poor,1,PossiblyOccupied
7/19/2026 23:36:41,30.8,90,898,1,Poor,1,Unoccupied
7/19/2026 23:37:02,30.8,90,893,1,Poor,1,Unoccupied
7/19/2026 23:37:10,30.8,90,902,1,Poor,1,Unoccupied
7/19/2026 23:37:20,30.8,90,898,1,Poor,1,Unoccupied
7/19/2026 23:37:30,30.8,91,898,1,Poor,1,Unoccupied
7/19/2026 23:37:40,30.8,91,898,1,Poor,1,Unoccupied
7/19/2026 23:37:50,30.8,91,894,1,Poor,1,Unoccupied
7/19/2026 23:38:00,30.8,91,895,1,Poor,1,Unoccupied
7/19/2026 23:38:10,30.8,91,901,1,Poor,1,Unoccupied
7/19/2026 23:38:20,30.8,91,903,1,Poor,1,Unoccupied
7/19/2026 23:38:30,30.8,91,902,1,Poor,1,Unoccupied
7/19/2026 23:38:40,30.8,91,903,1,Poor,1,Unoccupied
7/19/2026 23:38:50,30.8,91,898,1,Poor,1,Unoccupied
7/19/2026 23:39:00,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:39:11,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:39:20,30.8,91,902,1,Poor,1,Unoccupied
7/19/2026 23:39:33,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:39:41,30.8,91,898,1,Poor,1,Unoccupied
7/19/2026 23:39:50,30.8,91,902,1,Poor,1,Unoccupied
7/19/2026 23:40:00,30.8,91,902,1,Poor,1,Unoccupied
7/19/2026 23:40:11,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:40:20,30.8,91,903,1,Poor,1,Unoccupied
7/19/2026 23:40:31,30.8,91,904,1,Poor,1,Unoccupied
7/19/2026 23:40:41,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:40:50,30.8,91,900,1,Poor,1,Unoccupied
7/19/2026 23:41:00,30.8,91,895,1,Poor,1,Unoccupied
7/19/2026 23:41:11,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:41:20,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:41:31,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:41:40,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:41:53,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:42:31,30.8,91,900,1,Poor,1,Unoccupied
7/19/2026 23:42:56,30.8,91,901,1,Poor,1,Unoccupied
7/19/2026 23:43:13,30.8,91,900,1,Poor,1,Unoccupied
7/19/2026 23:43:45,30.8,91,902,1,Poor,1,Unoccupied
7/19/2026 23:44:15,30.8,91,902,1,Poor,1,Unoccupied
7/19/2026 23:44:38,30.8,90,904,1,Poor,1,Unoccupied
7/19/2026 23:45:01,30.8,90,906,1,Poor,1,Unoccupied
7/19/2026 23:45:28,30.8,90,903,1,Poor,1,Unoccupied
7/19/2026 23:45:57,30.8,91,904,1,Poor,1,Unoccupied
7/19/2026 23:46:11,30.8,91,905,1,Poor,1,Unoccupied
7/19/2026 23:46:20,30.8,91,906,1,Poor,1,Unoccupied
7/19/2026 23:46:31,30.8,91,906,1,Poor,1,Unoccupied
7/19/2026 23:46:40,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:46:50,30.8,91,904,1,Poor,1,Unoccupied
7/19/2026 23:47:01,30.8,91,906,1,Poor,1,Unoccupied
7/19/2026 23:47:10,30.8,91,906,1,Poor,1,Unoccupied
7/19/2026 23:47:20,30.8,91,906,1,Poor,1,Unoccupied
7/19/2026 23:47:31,30.8,91,903,1,Poor,1,Unoccupied
7/19/2026 23:47:40,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:47:50,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:48:00,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:48:10,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:48:20,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:48:30,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:48:40,30.8,91,904,1,Poor,1,Unoccupied
7/19/2026 23:48:50,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:49:00,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:49:10,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:49:20,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:49:31,30.8,91,903,1,Poor,1,Unoccupied
7/19/2026 23:49:40,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:49:50,30.8,91,906,0,Poor,1,PossiblyOccupied
7/19/2026 23:50:00,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:50:10,30.8,91,906,0,Poor,1,PossiblyOccupied
7/19/2026 23:50:20,30.8,91,907,1,Poor,1,Unoccupied
7/19/2026 23:50:30,30.8,91,904,1,Poor,1,Unoccupied
7/19/2026 23:50:40,30.8,91,927,1,Poor,1,Unoccupied
7/19/2026 23:50:50,30.8,91,925,0,Poor,1,PossiblyOccupied
7/19/2026 23:51:00,30.8,91,925,0,Poor,1,PossiblyOccupied
7/19/2026 23:51:10,30.8,91,926,0,Poor,1,PossiblyOccupied
7/19/2026 23:51:20,30.8,91,926,0,Poor,1,PossiblyOccupied
7/19/2026 23:51:30,30.8,91,927,1,Poor,1,Unoccupied
7/19/2026 23:51:40,30.8,91,918,1,Poor,1,Unoccupied
7/19/2026 23:51:50,30.8,91,922,1,Poor,1,Unoccupied
7/19/2026 23:52:13,30.8,90,916,1,Poor,1,Unoccupied
7/19/2026 23:52:36,30.8,91,916,1,Poor,1,Unoccupied
7/19/2026 23:52:57,30.8,91,909,1,Poor,1,Unoccupied
7/19/2026 23:53:12,30.8,91,912,1,Poor,1,Unoccupied
7/19/2026 23:53:35,30.8,91,912,1,Poor,1,Unoccupied
7/19/2026 23:53:59,30.8,91,912,1,Poor,1,Unoccupied
7/19/2026 23:54:14,31.1,91,912,1,Poor,1,Unoccupied
7/19/2026 23:54:56,31.3,91,913,1,Poor,1,Unoccupied
7/19/2026 23:55:36,31.3,91,914,1,Poor,1,Unoccupied
7/19/2026 23:56:04,30.8,90,913,1,Poor,1,Unoccupied
7/19/2026 23:56:42,30.8,91,913,1,Poor,1,Unoccupied
7/19/2026 23:56:59,30.8,91,913,1,Poor,1,Unoccupied
7/19/2026 23:57:33,30.8,91,914,1,Poor,1,Unoccupied
7/19/2026 23:57:57,30.8,91,913,1,Poor,1,Unoccupied
7/19/2026 23:58:29,30.8,90,913,1,Poor,1,Unoccupied
7/19/2026 23:58:57,30.8,91,913,1,Poor,1,Unoccupied
7/19/2026 23:59:24,30.8,91,913,1,Poor,1,Unoccupied
7/19/2026 23:59:47,30.8,91,913,1,Poor,1,Unoccupied
7/20/2026 0:00:07,31.3,90,914,1,Poor,1,Unoccupied
7/20/2026 0:00:31,30.8,90,914,1,Poor,1,Unoccupied
7/20/2026 0:00:52,30.8,91,914,1,Poor,1,Unoccupied
7/20/2026 0:01:06,30.8,91,914,1,Poor,1,Unoccupied
7/20/2026 0:01:27,30.8,91,915,1,Poor,1,Unoccupied
7/20/2026 0:02:10,30.8,91,915,1,Poor,1,Unoccupied
7/20/2026 0:02:29,30.8,91,916,1,Poor,1,Unoccupied
7/20/2026 0:03:03,30.8,91,917,1,Poor,1,Unoccupied
7/20/2026 0:03:12,30.8,91,932,1,Poor,1,Unoccupied
7/20/2026 0:03:21,30.8,91,917,1,Poor,1,Unoccupied
7/20/2026 0:03:37,30.8,91,885,1,Poor,1,Unoccupied
7/20/2026 0:04:01,30.8,91,895,1,Poor,1,Unoccupied
7/20/2026 0:04:23,30.8,91,906,1,Poor,1,Unoccupied
7/20/2026 0:04:50,30.8,91,890,1,Poor,1,Unoccupied
7/20/2026 0:05:15,30.8,90,895,1,Poor,1,Unoccupied
7/20/2026 0:05:30,30.8,90,876,1,Poor,1,Unoccupied
7/20/2026 0:05:36,30.8,90,874,1,Poor,1,Unoccupied
7/20/2026 0:05:42,30.8,90,874,1,Poor,1,Unoccupied
7/20/2026 0:05:51,30.8,90,879,1,Poor,1,Unoccupied
7/20/2026 0:06:00,30.8,90,878,1,Poor,1,Unoccupied
7/20/2026 0:06:10,30.8,90,870,1,Poor,1,Unoccupied
7/20/2026 0:06:20,30.8,90,870,1,Poor,1,Unoccupied
7/20/2026 0:06:30,30.8,90,870,1,Poor,1,Unoccupied
7/20/2026 0:06:40,30.8,91,864,1,Poor,1,Unoccupied
7/20/2026 0:06:50,30.8,91,867,1,Poor,1,Unoccupied
7/20/2026 0:07:00,30.8,91,859,1,Poor,1,Unoccupied
7/20/2026 0:07:10,30.8,91,859,1,Poor,1,Unoccupied
7/20/2026 0:07:20,30.8,91,865,1,Poor,1,Unoccupied
7/20/2026 0:07:30,30.8,91,861,1,Poor,1,Unoccupied
7/20/2026 0:07:40,30.8,91,859,1,Poor,1,Unoccupied
7/20/2026 0:07:50,30.8,91,857,1,Poor,1,Unoccupied
7/20/2026 0:08:00,30.8,91,860,1,Poor,1,Unoccupied
7/20/2026 0:08:10,30.8,91,857,1,Poor,1,Unoccupied
7/20/2026 0:08:20,30.8,90,853,1,Poor,1,Unoccupied
7/20/2026 0:08:30,30.8,91,900,1,Poor,1,Unoccupied
7/20/2026 0:08:40,30.8,91,895,1,Poor,1,Unoccupied
7/20/2026 0:08:51,30.8,91,913,1,Poor,1,Unoccupied
7/20/2026 0:09:00,30.8,91,909,1,Poor,1,Unoccupied
7/20/2026 0:09:10,30.8,91,895,1,Poor,1,Unoccupied
7/20/2026 0:09:20,30.8,91,890,1,Poor,1,Unoccupied
7/20/2026 0:09:30,30.8,91,893,1,Poor,1,Unoccupied
7/20/2026 0:09:40,30.8,91,894,1,Poor,1,Unoccupied
7/20/2026 0:10:03,30.8,91,916,1,Poor,1,Unoccupied
7/20/2026 0:10:26,30.8,91,905,1,Poor,1,Unoccupied
7/20/2026 0:10:43,30.8,90,912,1,Poor,1,Unoccupied
7/20/2026 0:11:13,30.8,90,915,1,Poor,1,Unoccupied
7/20/2026 0:11:37,30.8,90,933,1,Poor,1,Unoccupied
7/20/2026 0:11:43,30.8,90,928,1,Poor,1,Unoccupied
7/20/2026 0:11:50,30.8,90,933,1,Poor,1,Unoccupied
7/20/2026 0:12:00,30.8,90,934,1,Poor,1,Unoccupied
7/20/2026 0:12:10,30.8,90,932,1,Poor,1,Unoccupied
7/20/2026 0:12:20,30.8,90,886,1,Poor,1,Unoccupied
7/20/2026 0:12:30,30.8,90,858,1,Poor,1,Unoccupied
7/20/2026 0:12:40,30.8,90,894,1,Poor,1,Unoccupied
7/20/2026 0:12:50,30.8,90,898,1,Poor,1,Unoccupied
7/20/2026 0:13:00,30.8,90,879,1,Poor,1,Unoccupied
7/20/2026 0:13:10,30.8,90,878,1,Poor,1,Unoccupied
7/20/2026 0:13:20,30.8,90,868,1,Poor,1,Unoccupied
7/20/2026 0:13:31,30.8,90,876,1,Poor,1,Unoccupied
7/20/2026 0:13:43,30.8,90,889,1,Poor,1,Unoccupied
7/20/2026 0:14:07,30.9,90,884,1,Poor,1,Unoccupied
7/20/2026 0:14:30,30.8,90,894,1,Poor,1,Unoccupied
7/20/2026 0:14:58,31.2,90,970,1,Poor,1,Unoccupied
7/20/2026 0:15:20,30.8,90,957,1,Poor,1,Unoccupied
